,symbol,name,currency,summary,category_group,category,family,exchange,market
5693,DFE.TO,Desjardins Emerging Markets Multifactor-Controlled Volatility ETF,CAD,"DFE seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of an emerging markets multifactor-controlled volatility equity index. Currently, DFE seeks to replicate the performance of the Scientific Beta Emerging Markets MultifactorâControlled Volatility Index, net of fees and expenses. Under normal market conditions, DFE will primarily invest in emerging markets securities.",,,DGAM,TOR,ca_market
5721,DFU.TO,Desjardins USA Multifactor - Controlled Volatility ETF,CAD,"DFU seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of a U.S. multifactor-controlled volatility equity index. Currently, DFU seeks to replicate the performance of the Scientific Beta USA MultifactorâControlled Volatility Index, net of fees and expenses. Under normal market conditions, DFU will primarily invest in U.S. equity securities.",,,DGAM,TOR,ca_market
5729,DGR.TO,CI WisdomTree U.S. Quality Dividend Growth Index ETF,CAD,"The ETF seeks to track, to the extent possible, the price and yield performance of the WisdomTree U.S. Quality Dividend Growth Index CAD, before fees and expenses. The investment strategy of the ETF is to invest in and hold the Constituent Securities of the WisdomTree U.S. Quality Dividend Growth Index CAD in the same proportion as they are reflected in the WisdomTree U.S. Quality Dividend Growth Index CAD or otherwise invest in a manner intended to track the price and yield performance of the Index (e.g., sampling). As an alternative to or in conjunction with investing in and holding the Constituent Securities, the WisdomTree U.S. Quality Dividend Growth Index ETF may invest in or use certain other securities to obtain exposure to the price and yield performance of the WisdomTree U.S. Quality Dividend Growth Index CAD.",,,CI Investments,TOR,ca_market
5734,DGRC.TO,CI WisdomTree Canada Quality Dividend Growth Index ETF,CAD,"T""The ETF seeks to track, to the extent possible, the price and yield
performance of the WisdomTree Canada Quality Dividend Growth Index,
before fees and expenses.""",,,CI Investments,TOR,ca_market
5954,DISC.TO,BMO Global Consumer Discretionary Hedged to CAD Index ETF,CAD,"BMO Global Consumer Discretionary Hedged to CAD Index ETF seeks to replicate, to the extent possible, the performance of a global consumer discretionary index, net of expenses. Currently, the fund seeks to replicate the performance of the FTSE Developed ex Korea Consumer Discretionary Capped 100% Hedged to CAD Index.",,,BMO Capital Markets,TOR,ca_market
5962,DIVS.TO,Evolve Active Canadian Preferred Share Fund,CAD,"The investment objective of CAPS is to seek to provide holders of Units with long-term capital appreciation by investing primarily in equity securities of U.S. listed large-capitalization companies using a selection process that combines quantitative techniques, fundamental analysis and risk management.",,,Evolve Funds Group,TOR,ca_market
6196,DLR.TO,Horizons U.S. Dollar Currency ETF,CAD,"Horizons DLR seeks to reflect the reference value in Canadian dollars (in respect of the Cdn$ Units) and U.S. dollars (in respect of the US$ Units) of the U.S. dollar, net of expenses, by investing primarily in cash and Cash Equivalents that are denominated in the U.S. dollar.",,,Horizons ETFs Management,TOR,ca_market
6241,DQD.TO,CI WisdomTree U.S. Quality Dividend Growth Variably Hedged Index ETF,CAD,"The ETF seeks to track, to the extent possible, the price and yield performance of the WisdomTree U.S. Quality Dividend Growth Index Variably CAD-Hedged, before fees and expenses. The investment strategy of the ETF is to invest in and hold the Constituent Securities of the WisdomTree U.S. Quality Dividend Growth Index Variably CAD-Hedged in the same proportion as they are reflected in the WisdomTree U.S. Quality Dividend Growth Index Variably CAD-Hedged or otherwise invest in a manner intended to track the price and yield performance of the Index (e.g., sampling). As an alternative to or in conjunction with investing in and holding the Constituent Securities, the WisdomTree U.S. Quality Dividend Growth Variably Hedged Index ETF may invest in or use certain other securities to obtain exposure to the price and yield performance of the WisdomTree U.S. Quality Dividend Growth Index Variably CAD-Hedged.",,,CI Investments,TOR,ca_market
6242,DQI.TO,CI WisdomTree International Quality Dividend Growth Variably Hedged Index ETF,CAD,"The ETF seeks to track, to the extent possible, the price and yield performance of the WisdomTree International Quality Dividend Growth Index Variably CAD-Hedged, before fees and expenses. The investment strategy of the Index ETF is to invest in and hold the Constituent Securities of the WisdomTree International Quality Dividend Growth Index Variably CAD-Hedged in the same proportion as they are reflected in the WisdomTree International Quality Dividend Growth Index Variably CAD-Hedged or otherwise invest in a manner intended to track the price and yield performance of the Index (e.g., sampling). As an alternative to or in conjunction with investing in and holding the Constituent Securities, the WisdomTree International Quality Dividend Growth Variably Hedged Index ETF may invest in or use certain other securities to obtain exposure to the price and yield performance of the WisdomTree International Quality Dividend Growth Index Variably CAD hedged.",,,CI Investments,TOR,ca_market
6243,DRCU.TO,Desjardins RI Active Canadian Bond - Low CO2 ETF,CAD,"DRCU seeks to achieve a total return comprised of income and long-term capital appreciation by actively investing primarily in debt securities issued by Canadian governments, government agencies and corporations that meet certain ESG criteria determined by the Manager, including at the Managerâs discretion, debt securities of issuers that reduce the investment carbon intensity levels of the overall portfolio.",,,DGAM,TOR,ca_market
6245,DRFC.TO,Desjardins RI Canada Multifactor - Low CO2 ETF,CAD,"DRFC seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of a Canadian index that employs a multifactor approach. Currently, DRFC seeks to replicate the performance of the Scientific Beta Desjardins Canada RI Low Carbon Multifactor Index, net of fees and expenses. Under normal market conditions, DRFC will primarily invest in large and mid-cap companies from the Scientific Beta Canada Universe while seeking to deliver a significant reduction in the weighted average carbon intensity of DRFCâs portfolio relative to the cap-weighted Index of the Scientific Beta Canada Universe and ensuring that all Constituent Issuers meet Pre-Determined ESG Standards.",,,DGAM,TOR,ca_market
6246,DRFD.TO,Desjardins RI Developed ex-USA ex-Canada Multifactor - Low CO2 ETF,CAD,"DRFD seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of a developed markets (ex-USA ex-Canada) index that employs a multifactor approach. Currently, DRFD seeks to replicate the performance of the Scientific Beta Desjardins Developed ex US ex CA RI Low Carbon Multifactor Index, net of fees and expenses. Under normal market conditions, DRFD will primarily invest in large and mid-cap companies from the Scientific Beta Developed Markets (ex-USA ex-Canada) Universe while seeking to deliver a significant reduction in the weighted average carbon intensity of DRFDâs portfolio relative to the cap-weighted Index of the Scientific Beta Developed Markets (ex-USA ex-Canada) Universe and ensuring that all Constituent Issuers meet Pre-Determined ESG Standards.",,,DGAM,TOR,ca_market
6247,DRFE.TO,Desjardins RI Emerging Markets Multifactor - Low CO2 ETF,CAD,"DRFE seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of an emerging markets index that employs a multifactor approach. Currently, DRFE seeks to replicate the performance of Scientific Beta Desjardins Emerging RI Low Carbon Multifactor Index, net of fees and expenses. Under normal market conditions, DRFE will primarily invest in large and mid-cap companies from the Scientific Beta Emerging Markets Universe while seeking to deliver a significant reduction in the weighted average carbon intensity of DRFEâs portfolio relative to the cap-weighted Index of the Scientific Beta Emerging Markets Universe and ensuring that all Constituent Issuers meet Pre-Determined ESG Standards.",,,DGAM,TOR,ca_market
6248,DRFG.TO,Desjardins RI Global Multifactor - Fossil Fuel Reserves Free ETF,CAD,"DRFG seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of a global markets index that employs a multifactor approach. Currently, DRFG seeks to replicate the performance of the Scientific Beta Desjardins Global RI Fossil Fuel Reserves Free Multifactor Index, net of fees and expenses. Under normal market conditions, DRFG will primarily invest in large and mid-cap companies from the Scientific Beta Global Markets Universe while delivering a significant reduction in the Carbon Asset Stranding Risk Exposure of DRFGâs portfolio relative to the cap-weighted Index of the Scientific Beta Global Markets Universe and ensuring that all Constituent Issuers meet Pre-Determined ESG Standards.",,,DGAM,TOR,ca_market
6249,DRFU.TO,Desjardins RI USA Multifactor - Low CO2 ETF,CAD,"DRFU seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of a United States index that employs a multifactor approach. Currently, DRFU seeks to replicate the performance of the Scientific Beta Desjardins United States RI Low Carbon Multifactor Index, net of fees and expenses. Under normal market conditions, DRFU will primarily invest in large and mid-cap companies from the Scientific Beta United States Universe while seeking to deliver a significant reduction in the weighted average carbon intensity of DRFUâs portfolio relative to the cap-weighted Index of the Scientific Beta United States Universe and ensuring that all Constituent Issuers meet Pre-Determined ESG Standards.",,,DGAM,TOR,ca_market
6261,DRMC.TO,Desjardins RI Canada - Low CO2 Index ETF,CAD,"DRMC seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of a Canadian cap-weighted equity index. Currently, DRMC seeks to replicate the performance of the Scientific Beta Desjardins Canada RI Low Carbon Index, net of fees and expenses. Under normal market conditions, DRMC will primarily invest in large and mid-cap companies from the Scientific Beta Canada Universe, while seeking to deliver a significant reduction in the weighted average carbon intensity of DRMCâs portfolio and ensuring that all Constituent Issuers meet Pre-Determined ESG Standards.",,,DGAM,TOR,ca_market
6262,DRMD.TO,Desjardins RI Developed ex-USA ex-Canada Low CO2 Index ETF,CAD,"DRMD seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance
of a developed markets (ex-USA ex-Canada) cap-weighted equity index. Currently, DRMD seeks to
replicate the performance of the Scientific Beta Desjardins Developed ex-US ex-CA RI Low Carbon Index,
net of fees and expenses. Under normal market conditions, DRMD will primarily invest in large and midcap companies from the Scientific Beta Developed Markets (ex-USA ex-Canada) Universe while seeking
to deliver a significant reduction in the weighted average carbon intensity of DRMDâs portfolio and ensuring
that all Constituent Issuers meet Pre-Determined ESG Standards.",,,DGAM,TOR,ca_market
6263,DRME.TO,Desjardins RI Emerging Markets Low CO2 Index ETF,CAD,"DRME seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of an emerging markets cap-weighted equity index. Currently, DRME seeks to replicate the performance of Scientific Beta Desjardins Emerging Markets RI Low Carbon Index, net of fees and expenses. Under normal market conditions, DRME will primarily invest in large and mid-cap companies from the Scientific Beta Emerging Markets Universe while seeking to deliver a significant reduction in the weighted average carbon intensity of DRMEâs portfolio and ensuring that all Constituent Issuers meet Pre-Determined ESG Standards.",,,DGAM,TOR,ca_market
6264,DRMU.TO,Desjardins RI USA - Low CO2 Index ETF,CAD,"DRMU seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of a United States cap-weighted equity index. Currently, DRMU seeks to replicate the performance of the Scientific Beta Desjardins United States RI Low Carbon Index, net of fees and expenses. Under normal market conditions, DRMU will primarily invest in large and mid-cap companies from the Scientific Beta United States Universe, while seeking to deliver a significant reduction in the weighted average carbon intensity of DRMUâs portfolio and ensuring that all Constituent Issuers meet Pre-Determined ESG Standards.",,,DGAM,TOR,ca_market
6646,DXB.TO,Dynamic Active Tactical Bond ETF,CAD,"DXB seeks to provide interest income and long-term capital growth by investing in a diversified portfolio of primarily North American fixed income securities. Exposure to these types of fixed income securities will be obtained by investing primarily in Dynamic Active Tactical Bond Fund (the âDynamic ATB Fundâ), and/or by investing directly in them, in securities of one or more Other Funds (as hereinafter defined), and/or through the use of derivatives.",,,BlackRock Asset Management,TOR,ca_market
6647,DXC.TO,Dynamic Active Canadian Dividend ETF,CAD,"DXC seeks to provide long-term capital growth by investing primarily in a broadly diversified portfolio of equity securities of Canadian based businesses that pay or are expected to pay a dividend or distribution. Exposure to these types of equity securities will be obtained by investing primarily in Dynamic Active Canadian Dividend Fund (the âDynamic ACD Fundâ), and/or by investing directly in them, in securities of one or more Other Funds (as hereinafter defined), and/or through the use of derivatives.",,,BlackRock Asset Management,TOR,ca_market
6656,DXF.TO,Dynamic Active Global Financial Services ETF,CAD,"DXF seeks to provide long-term capital growth by investing primarily in equity securities of companies globally, with a focus in the U.S., that are involved in the financial services and/or financial technology sectors. Exposure to these types of equity securities will be obtained by investing primarily in Dynamic Active Global Financial Services Fund (the âDynamic AGFS Fundâ), and/or by investing directly in them, in securities of one or more Other Funds, and/or through the use of derivatives.",,,BlackRock Asset Management,TOR,ca_market
6657,DXG.TO,Dynamic Active Global Dividend ETF,CAD,"DXG seeks to provide long-term capital growth by investing primarily in a broadly diversified portfolio of equity securities of businesses located around the world that pay or are expected to pay a dividend or distribution. Exposure to these types of equity securities will be obtained by investing primarily in Dynamic Active Global Dividend Fund (the âDynamic AGD Fundâ), and/or by investing directly in them, in securities of one or more Other Funds, and/or through the use of derivatives.",,,BlackRock Asset Management,TOR,ca_market
6659,DXIF.TO,Dynamic Active International ETF,CAD,DXIF seeks to provide long-term capital growth by investing primarily in a broadly diversified portfolio of equity securities of businesses located around the world excluding the United States of America and Canada. See âInvestment Objectivesâ.,,,1832 Asset Management,TOR,ca_market
6684,DXM.TO,CI First Asset Morningstar Canada Dividend Target 30 Index ETF Common,CAD,"DXM has been designed to replicate, to the extent possible, the performance of the MorningstarÂ® Canada Target Dividend Indexâ¢ (the âIndexâ), net of expenses. DXM invests in equity securities of the largest and most liquid Canadian public issuers based upon proprietary research generated by Morningstar, and is designed to provide diversified exposure to Canadian dividend paying companies.",,,CI Investments,TOR,ca_market
6685,DXN.TO,Dynamic Active Global Infrastructure ETF,CAD,DXN seeks to provide long-term capital appreciation and income primarily through investment in a diversified portfolio of infrastructure and related companies from around the globe.,,,1832 Asset Management,TOR,ca_market
6686,DXO.TO,Dynamic Active Crossover Bond ETF,CAD,"DXO seeks to provide interest income and the potential for some long-term capital growth by investing primarily in North American fixed income corporate securities that are rated close to the line dividing investment grade and high-yield credit. Exposure to these types of fixed income securities will be obtained by investing primarily in Dynamic Active Crossover Bond Fund (the âDynamic ACB Fundâ), and/or by investing directly in them, in securities of one or more Other Funds, and/or through the use of derivatives.",,,BlackRock Asset Management,TOR,ca_market
6687,DXP.TO,Dynamic Active Preferred Shares ETF,CAD,"DXP seeks to provide dividend income while preserving capital by investing primarily in preferred shares of Canadian based businesses. Exposure to these types of securities will be obtained by investing primarily in Dynamic Active Preferred Shares Fund (the âDynamic APS Fundâ), and/or by investing directly in them, in securities of one or more Other Funds, and/or through the use of derivatives.",,,BlackRock Asset Management,TOR,ca_market
6717,DXR.TO,Dynamic Active Retirement Income+ ETF,CAD,"DXR seeks to provide total returns that have lower correlations to major stock or bond market indices in the form of income and long-term capital appreciation by investing primarily in dividend-paying or distribution-paying equity securities. DXR will use alternative investment strategies, including the use of leverage, primarily created through the use of borrowing and to a lesser extent through exposure to derivatives and short selling.",,,1832 Asset Management,TOR,ca_market
6880,DXU.TO,Dynamic Active U.S. Dividend ETF,CAD,"DXU seeks to provide long-term capital growth by investing primarily in a broadly diversified portfolio of equity securities of U.S. based businesses that pay or are expected to pay a dividend or distribution. Exposure to these types of equity securities will be obtained by investing primarily in Dynamic Active U.S. Dividend Fund (the âDynamic AUSD Fundâ) and/or by investing directly in them, in securities of one or more Other Funds, and/or through the use of derivatives.",,,BlackRock Asset Management,TOR,ca_market
6881,DXV.TO,Dynamic Active Investment Grade Floating Rate ETF,CAD,"The iShares Fund seeks to provide a floating rate of interest income while preserving capital by investing primarily in Canadian investment grade corporate bonds and through using interest rate derivatives that seek to mitigate the effects of interest rate fluctuations. Exposure to these types of fixed income securities and derivatives will be obtained by investing primarily in Dynamic Active Investment Grade Floating Rate Fund (the âDynamic AFR Fundâ), and/or by investing directly in them, in securities of one or more Other Funds, and/or through the use of derivatives.",,,BlackRock Asset Management,TOR,ca_market
6887,DXW.TO,Dynamic Active International Dividend ETF,CAD,DXW seeks to provide income and long-term capital appreciation by investing primarily in equity securities of dividend or distribution paying companies that are located or doing business primarily outside of North America.,,,1832 Asset Management,TOR,ca_market
6893,DXZ.TO,Dynamic Active U.S. Mid-Cap ETF,CAD,"DXZ seeks to provide long-term capital growth by investing primarily in equity securities of U.S.-based companies with mid-capitalization. Exposure to these types of equity securities will be obtained by investing primarily in Dynamic Active U.S. Mid-Cap Fund (the âDynamic AMC Fundâ), and/or by investing directly in them, in securities of one or more Other Funds, and/or through the use of derivatives.",,,BlackRock Asset Management,TOR,ca_market
7126,EAAI-U.NE,EMERGE ARK AI & BIG DATA ETF,USD,,,,,NEO,ca_market
7127,EAAI.NE,EMERGE ARK AI & BIG DATA ETF,CAD,,,,,NEO,ca_market
7138,EAFT-U.NE,EMERGE ARK FINTECH INNOVATION E,USD,,,,,NEO,ca_market
7139,EAFT.NE,EMERGE ARK FINTECH INNOVATION E,CAD,,,,,NEO,ca_market
7140,EAGB-U.NE,EMERGE ARK GENOMICS & BIOTECH E,USD,,,,,NEO,ca_market
7141,EAGB.NE,EMERGE ARK GENOMICS & BIOTECH E,CAD,,,,,NEO,ca_market
7153,EARK-U.NE,EMERGE ARK GLOBAL DISRUPTIVE IN,USD,,,,,NEO,ca_market
7154,EARK.NE,EMERGE ARK GLOBAL DISRUPTIVE IN,CAD,,,,,NEO,ca_market
7155,EARN.TO,Evolve Active Global Fixed Income Fund,CAD,"The investment objective of EARN is to generate positive returns throughout the interest rate and economic cycles, firstly by allocating to different credit asset classes, and also through bottom-up individual security selection. EARN seeks to provide long term returns in excess of the 3 month U.S. dollar London Interbank Offered Rate (LIBOR) by investing primarily in global debt securities of corporate issuers.",,,Evolve Funds Group,TOR,ca_market
7173,EAUT-U.NE,EMERGE ARK AUTONOMOUS TECH & RO,USD,,,,,NEO,ca_market
7174,EAUT.NE,EMERGE ARK AUTONOMOUS TECH & RO,CAD,,,,,NEO,ca_market
7175,EAXP-U.NE,EMERGE ARK SPACE EXPLORATION ET,USD,,,,,NEO,ca_market
7176,EAXP.NE,Emerge ARK Space Exploration ETF,CAD,,,,,NEO,ca_market
7184,EBIT-U.TO,Bitcoin ETF USD,USD,The Evolve Fundâs investment objective is to provide Unitholders with exposure to the daily price movements of the U.S. dollar price of bitcoin while experiencing minimal tracking error by utilizing the benefits of the creation and redemption processes offered by the exchange traded fund structure. The investment objective of the Evolve Fund may not be changed except with the approval of its Unitholders. See âUnitholder Mattersâ for additional descriptions of the process for calling a meeting of Unitholders and the requirements of Unitholder approval.,,,Evolve Funds Group,TOR,ca_market
7185,EBIT.TO,Bitcoin ETF CAD,CAD,The Evolve Fundâs investment objective is to provide Unitholders with exposure to the daily price movements of the U.S. dollar price of bitcoin while experiencing minimal tracking error by utilizing the benefits of the creation and redemption processes offered by the exchange traded fund structure. The investment objective of the Evolve Fund may not be changed except with the approval of its Unitholders. See âUnitholder Mattersâ for additional descriptions of the process for calling a meeting of Unitholders and the requirements of Unitholder approval.,,,Evolve Funds Group,TOR,ca_market
7271,EDGE.TO,Evolve Innovation Index Fund ETF,CAD,"EDGE seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of the Solactive Global Innovation Index, or any successor thereto (the âEDGE Indexâ). EDGE directly or indirectly invests in equity securities of companies located domestically or internationally that are involved in innovative and disruptive trends across a broad range of industries.",,,Evolve Funds Group,TOR,ca_market
7272,EDGF.TO,Brompton European Dividend Growth ETF,CAD,The investment objectives of Brompton European Dividend Growth ETF are to provide Unitholders of the Brompton ETF with: (a) stable monthly cash distributions; (b) the opportunity for capital appreciation; and (c) lower overall volatility of portfolio returns than would otherwise be experienced by owning securities of European Dividend Growth Companies (as defined herein) directly. The Brompton ETF seeks to hedge substantially all of its direct exposure to foreign currencies back to the Canadian dollar.,,,Brompton Funds,TOR,ca_market
7478,EGIF.TO,Exemplar Growth and Income Ser ETF,CAD,"The investment objective of the Exemplar Growth and Income Fund is to achieve long term growth and preservation of capital. The Fund will invest up to all of its assets in a diversified mix of other mutual funds (in order to gain indirect exposure to securities that the Fund would otherwise directly invest in), and may also invest in common shares, preferred shares, treasury bills, short-term notes, debentures, and bonds. The Fund intends to invest primarily in Canadian securities.",,,Arrow Capital Management,TOR,ca_market
7539,EHE-B.TO,CI WisdomTree Europe Hedged Equity Index ETF Non-Hedged,CAD,"The ETF seeks to track, to the extent possible, the price and yield performance of the WisdomTree Europe CAD-Hedged Equity Index, before fees and expenses. The investment strategy of the ETF is to invest in and hold the Constituent Securities of the WisdomTree Europe CAD-Hedged Equity Index in the same proportion as they are reflected in the WisdomTree Europe CAD-Hedged Equity Index or otherwise invest in a manner intended to track the price and yield performance of the Index (e.g., sampling). As an alternative to or in conjunction with investing in and holding the Constituent Securities, WisdomTree Europe Hedged Equity Index ETF may invest in or use certain other securities to obtain exposure to the price and yield performance of the WisdomTree Europe CAD-Hedged Equity Index.",,,CI Investments,TOR,ca_market
7540,EHE.TO,CI WisdomTree Europe Hedged Equity Index ETF,CAD,"The ETF seeks to track, to the extent possible, the price and yield performance of the WisdomTree Europe CAD-Hedged Equity Index, before fees and expenses. The investment strategy of the ETF is to invest in and hold the Constituent Securities of the WisdomTree Europe CAD-Hedged Equity Index in the same proportion as they are reflected in the WisdomTree Europe CAD-Hedged Equity Index or otherwise invest in a manner intended to track the price and yield performance of the Index (e.g., sampling). As an alternative to or in conjunction with investing in and holding the Constituent Securities, WisdomTree Europe Hedged Equity Index ETF may invest in or use certain other securities to obtain exposure to the price and yield performance of the WisdomTree Europe CAD-Hedged Equity Index.",,,CI Investments,TOR,ca_market
7926,ELV.TO,Invesco S&amp;P Emerging Markets Low Volatility Index ETF,CAD,"ELV seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of the S&P BMI Emerging Markets Low Volatility Index, or any successor thereto. This Invesco ETF invests, directly or indirectly, primarily in low volatility equity securities of companies located in emerging market countries.",,,Invesco Investment Management,TOR,ca_market
8169,EMV-B.TO,CI WisdomTree Emerging Markets Dividend Index ETF,CAD,"""The ETF seeks to track, to the extent possible, the price and yield
performance of the WisdomTree Emerging Markets Dividend Index CAD,
before fees and expenses.""",,,CI Investments,TOR,ca_market
8253,EQE-F.NE,INVESCO S&P EUROPE 350 EQUAL WE,CAD,,,,,NEO,ca_market
8254,EQE.NE,INVESCO S&P EUROPE 350 EQUAL WE,CAD,,,,,NEO,ca_market
8267,EQL.TO,Invesco S&amp;P 500 Equal Weight Index ETF CAD Units,CAD,"EQL seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of the S&P 500Â® Equal Weight Index, or any successor thereto, on an unhedged basis, in the case of any unhedged units, or on a hedged basis, in the case of any hedged units. This Invesco ETF invests, directly or indirectly, primarily in equity securities of companies listed in the United States.",,,Invesco Investment Management,TOR,ca_market
8528,ESG.TO,Invesco S&amp;P 500 ESG Index ETF,CAD,"ESG seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of the S&P 500Â® ESG Index, or any successor thereto, on an unhedged basis, in the case of any unhedged units, or on a hedged basis, in the case of any hedged units. This Invesco ETF invests, directly or indirectly, primarily in equity securities of companies listed in the United States.",,,Invesco Investment Management,TOR,ca_market
8530,ESGA.TO,BMO MSCI Canada ESG Leaders Index ETF,CAD,"BMO MSCI Canada ESG Leaders Index ETF seeks to replicate, to the extent possible, the performance of an ESG-focused Canadian equity index, net of expenses. Currently, BMO MSCI Canada ESG Leaders Index ETF seeks to replicate the performance of the MSCI Canada ESG Leaders Index.",,,BMO Capital Markets,TOR,ca_market
8532,ESGB.TO,BMO ESG Corporate Bond Index ETF,CAD,"BMO ESG Corporate Bond Index ETF seeks to replicate, to the extent possible, the performance of an ESG focused Canadian corporate bond index, net of expenses. Currently, BMO ESG Corporate Bond Index ETF seeks to replicate the performance of the Bloomberg Barclays MSCI Canadian Corporate Sustainability SRI Index.",,,BMO Capital Markets,TOR,ca_market
8533,ESGC.TO,Invesco S&amp;P/TSX Composite ESG Index ETF,CAD,"ESGC seeks to replicate, to the extent reasonably possible and before fees and expenses, the performance of the S&P/TSX Composite ESG Index, or any successor thereto. The Invesco ETF invests, directly or indirectly, primarily in equity securities of companies listed on the TSX.",,,Invesco Investment Management,TOR,ca_market
8547,ESGE.TO,BMO MSCI EAFE ESG Leaders Index ETF,CAD,"BMO MSCI EAFE ESG Leaders Index ETF seeks to replicate, to the extent possible, the performance of an ESG-focused international equity markets index, net of expenses. Currently, BMO MSCI EAFE ESG Leaders Index ETF seeks to replicate the performance of the MSCI EAFE ESG Leaders Index.",,,BMO Capital Markets,TOR,ca_market
8552,ESGF.TO,BMO ESG US Corporate Bond Hedged to CAD Index ETF,CAD,"BMO ESG US Corporate Bond Hedged to CAD Index ETF seeks to replicate, to the extent possible, the performance of an ESG-focused US corporate bond index, net of expenses. Currently, BMO ESG US Corporate Bond Hedged to CAD Index ETF seeks to replicate the performance of the Bloomberg Barclays MSCI US Corporate Sustainability SRI Index.",,,BMO Capital Markets,TOR,ca_market
8555,ESGG.TO,BMO MSCI Global ESG Leaders Index ETF,CAD,"BMO MSCI Global ESG Leaders Index ETF seeks to replicate, to the extent possible, the performance of an ESG-focused global equity market index, net of expenses. Currently, BMO MSCI Global ESG Leaders Index ETF seeks to replicate the performance of the MSCI World ESG Leaders Index.",,,BMO Capital Markets,TOR,ca_market
8560,ESGH.TO,BMO ESG High Yield US Corporate Bond Index ETF,CAD,"BMO ESG High Yield US Corporate Bond Index ETF seeks to replicate, to the extent possible, the performance of an ESG-focused US high yield corporate bond index, net of expenses. Currently, BMO ESG High Yield US Corporate Bond Index ETF seeks to replicate the performance of the Bloomberg Barclays MSCI US High Yield Liquid Corporate Sustainability SRI Index. In respect of the Hedged Units, BMO ESG High Yield US Corporate Bond Index ETF will also invest in or use derivative instruments to seek to hedge U.S. currency exposure",,,BMO Capital Markets,TOR,ca_market
8592,ESGY-F.TO,BMO MSCI USA ESG Leaders Index ETF (Hedged Units),CAD,"BMO MSCI USA ESG Leaders Index ETF seeks to replicate, to the extent possible, the performance of an ESG-focused U.S. equity index, net of expenses. Currently, BMO MSCI USA ESG Leaders Index ETF seeks to replicate the performance of the MSCI USA ESG Leaders Index.",,,BMO Capital Markets,TOR,ca_market
8593,ESGY.TO,BMO MSCI USA ESG Leaders Index ETF,CAD,"BMO MSCI USA ESG Leaders Index ETF seeks to replicate, to the extent possible, the performance of an ESG-focused U.S. equity index, net of expenses. Currently, BMO MSCI USA ESG Leaders Index ETF seeks to replicate the performance of the MSCI USA ESG Leaders Index.",,,BMO Capital Markets,TOR,ca_market
8688,ETHH-B.TO,Purpose Ether ETF - CAD ETF Non-Currency Hedged,CAD,The Fund has been created to buy and hold substantially all of its assets in long-term holdings of Ether and seeks to provide holders of ETF Units (âUnitholdersâ) with the opportunity for long-term capital appreciation.,,,Purpose Investments,TOR,ca_market
8689,ETHH-U.TO,Purpose Ether ETF,USD,,,,,TOR,ca_market
8690,ETHH.TO,Purpose Ether ETF - Hedged,CAD,The Fund has been created to buy and hold substantially all of its assets in long-term holdings of Ether and seeks to provide holders of ETF Units (âUnitholdersâ) with the opportunity for long-term capital appreciation.,,,Purpose Investments,TOR,ca_market
8692,ETHI.TO,Horizons Global Sustainability Leaders Index ETF,CAD,"Horizons ETHI seeks to replicate, to the extent possible, the performance of the Nasdaq Future Global Sustainability Leaders USD Index, net of expenses. The Nasdaq Future Global Sustainability Leaders USD Index is designed to provide exposure to the performance of a basket of large-cap equity securities of companies that are global climate change leaders (as measured by their relative carbon efficiency), and are not materially engaged in activities deemed inconsistent with responsible investment considerations. Horizons ETHI seeks to hedge the U.S. dollar value of its portfolio to the Canadian dollar at all times.",,,Horizons ETFs Management,TOR,ca_market
8694,ETHQ-U.TO,3iQ Coinshares Ether ETF,USD,,,,CoinShares,TOR,ca_market
